省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,,,,,1809967,1814696,,,,1935457,
新疆,电信,,,,,1809968,1814697,,,,1935458,
新疆,电信,,,,,1809969,1814698,,,,1935459,
新疆,电信,,,,,1809970,1814699,,,,1936314,
新疆,电信,,,,,1809971,1814980,,,,1936315,
新疆,电信,,,,,1809972,1814981,,,,1936316,
新疆,电信,,,,,1809973,1814982,,,,1936317,
新疆,电信,,,,,1809974,1814983,,,,1939010,
新疆,电信,,,,,1809975,1814984,,,,1939011,
新疆,电信,,,,,1809976,1814985,,,,1939012,
新疆,电信,,,,,1809977,1814986,,,,1939013,
新疆,电信,,,,,1809978,1814987,,,,1939014,
新疆,电信,,,,,1809979,1814988,,,,1939015,
新疆,电信,,,,,1809980,1814989,,,,1939016,
新疆,电信,,,,,1809981,1814990,,,,1939017,
新疆,电信,,,,,1809982,1814991,,,,1939018,
新疆,电信,,,,,1809983,1814992,,,,1939019,
新疆,电信,,,,,1809984,1814993,,,,1939020,
新疆,电信,,,,,1809985,1814994,,,,1939021,
新疆,电信,,,,,1809986,1814995,,,,1939022,
新疆,电信,,,,,1809987,1814996,,,,1939023,
新疆,电信,,,,,1809988,1814997,,,,1939024,
新疆,电信,,,,,1809989,1814998,,,,1939025,
新疆,电信,,,,,1809990,1814999,,,,1939026,
新疆,电信,,,,,1809991,1815290,,,,1939027,
新疆,电信,,,,,1809992,1815291,,,,1939028,
新疆,电信,,,,,1809993,1815292,,,,1939029,
新疆,电信,,,,,1809994,1815293,,,,1939030,
新疆,电信,,,,,1809995,1815294,,,,1939031,
新疆,电信,,,,,1809996,1815295,,,,1939032,
新疆,电信,,,,,1809997,1815296,,,,1939033,
新疆,电信,,,,,1809998,1815297,,,,1939034,
新疆,电信,,,,,1809999,1815298,,,,1939035,
新疆,电信,,,,,,1815299,,,,1939036,
新疆,电信,,,,,,1815480,,,,1939037,
新疆,电信,,,,,,1815481,,,,1939038,
新疆,电信,,,,,,1815482,,,,1939039,
新疆,电信,,,,,,1815483,,,,1939040,
新疆,电信,,,,,,1815484,,,,1939041,
新疆,电信,,,,,,1815485,,,,1939042,
新疆,电信,,,,,,1815486,,,,1939043,
新疆,电信,,,,,,1815487,,,,1939044,
新疆,电信,,,,,,1815488,,,,1939045,
新疆,电信,,,,,,1815489,,,,1939046,
新疆,电信,,,,,,1815490,,,,1939047,
新疆,电信,,,,,,1815491,,,,1939048,
新疆,电信,,,,,,1815492,,,,1939049,
新疆,电信,,,,,,1815493,,,,1939050,
新疆,电信,,,,,,1815494,,,,1939051,
新疆,电信,,,,,,1815495,,,,1939052,
新疆,电信,,,,,,1815496,,,,1939053,
新疆,电信,,,,,,1815497,,,,1939054,
新疆,电信,,,,,,1815498,,,,1939055,
新疆,电信,,,,,,1815499,,,,1939056,
新疆,电信,,,,,,1816020,,,,1939057,
新疆,电信,,,,,,1816021,,,,1939058,
新疆,电信,,,,,,1816022,,,,1939059,
新疆,电信,,,,,,1816023,,,,1939060,
新疆,电信,,,,,,1816024,,,,1939061,
新疆,电信,,,,,,1816025,,,,1939062,
新疆,电信,,,,,,1816026,,,,1939063,
新疆,电信,,,,,,1816027,,,,1939064,
新疆,电信,,,,,,1816028,,,,1939065,
新疆,电信,,,,,,1816029,,,,1939066,
新疆,电信,,,,,,1816030,,,,1939067,
新疆,电信,,,,,,1816031,,,,1939068,
新疆,电信,,,,,,1816032,,,,1939069,
新疆,电信,,,,,,1816033,,,,1939070,
新疆,电信,,,,,,1816034,,,,1939071,
新疆,电信,,,,,,1816035,,,,1939072,
新疆,电信,,,,,,1816036,,,,1939073,
新疆,电信,,,,,,1816037,,,,1939074,
新疆,电信,,,,,,1816038,,,,1939075,
新疆,电信,,,,,,1816039,,,,1939076,
新疆,电信,,,,,,1816040,,,,1939077,
新疆,电信,,,,,,1816041,,,,1939078,
新疆,电信,,,,,,1816042,,,,1939079,
新疆,电信,,,,,,1816043,,,,1939080,
新疆,电信,,,,,,1816044,,,,1939081,
新疆,电信,,,,,,1816045,,,,1939082,
新疆,电信,,,,,,1816046,,,,1939083,
新疆,电信,,,,,,1816047,,,,1939084,
新疆,电信,,,,,,1816048,,,,1939085,
新疆,电信,,,,,,1816049,,,,1939086,
新疆,电信,,,,,,1816050,,,,1939087,
新疆,电信,,,,,,1816051,,,,1939088,
新疆,电信,,,,,,1816052,,,,1939089,
新疆,电信,,,,,,1816053,,,,1939090,
新疆,电信,,,,,,1816054,,,,1939091,
